FIPS,STATE,ABBR,NAME
01001,Alabama,AL,Autauga County
01003,Alabama,AL,Baldwin County
01005,Alabama,AL,Barbour County
01007,Alabama,AL,Bibb County
01009,Alabama,AL,Blount County
01011,Alabama,AL,Bullock County
01013,Alabama,AL,Butler County
01015,Alabama,AL,Calhoun County
01017,Alabama,AL,Chambers County
01019,Alabama,AL,Cherokee County
01021,Alabama,AL,Chilton County
01023,Alabama,AL,Choctaw County
01025,Alabama,AL,Clarke County
01027,Alabama,AL,Clay County
01029,Alabama,AL,Cleburne County
01031,Alabama,AL,Coffee County
01033,Alabama,AL,Colbert County
01035,Alabama,AL,Conecuh County
01037,Alabama,AL,Coosa County
01039,Alabama,AL,Covington County
01041,Alabama,AL,Crenshaw County
01043,Alabama,AL,Cullman County
01045,Alabama,AL,Dale County
01047,Alabama,AL,Dallas County
01049,Alabama,AL,DeKalb County
01051,Alabama,AL,Elmore County
01053,Alabama,AL,Escambia County
01055,Alabama,AL,Etowah County
01057,Alabama,AL,Fayette County
01059,Alabama,AL,Franklin County
01061,Alabama,AL,Geneva County
01063,Alabama,AL,Greene County
01065,Alabama,AL,Hale County
01067,Alabama,AL,Henry County
01069,Alabama,AL,Houston County
01071,Alabama,AL,Jackson County
01073,Alabama,AL,Jefferson County
01075,Alabama,AL,Lamar County
01077,Alabama,AL,Lauderdale County
01079,Alabama,AL,Lawrence County
01081,Alabama,AL,Lee County
01083,Alabama,AL,Limestone County
01085,Alabama,AL,Lowndes County
01087,Alabama,AL,Macon County
01089,Alabama,AL,Madison County
01091,Alabama,AL,Marengo County
01093,Alabama,AL,Marion County
01095,Alabama,AL,Marshall County
01097,Alabama,AL,Mobile County
01099,Alabama,AL,Monroe County
01101,Alabama,AL,Montgomery County
01103,Alabama,AL,Morgan County
01105,Alabama,AL,Perry County
01107,Alabama,AL,Pickens County
01109,Alabama,AL,Pike County
01111,Alabama,AL,Randolph County
01113,Alabama,AL,Russell County
01115,Alabama,AL,St. Clair County
01117,Alabama,AL,Shelby County
01119,Alabama,AL,Sumter County
01121,Alabama,AL,Talladega County
01123,Alabama,AL,Tallapoosa County
01125,Alabama,AL,Tuscaloosa County
01127,Alabama,AL,Walker County
01129,Alabama,AL,Washington County
01131,Alabama,AL,Wilcox County
01133,Alabama,AL,Winston County
02013,Alaska,AK,Aleutians East Borough
02016,Alaska,AK,Aleutians West Census Area
02020,Alaska,AK,Anchorage Municipality
02050,Alaska,AK,Bethel Census Area
02060,Alaska,AK,Bristol Bay Borough
02068,Alaska,AK,Denali Borough
02070,Alaska,AK,Dillingham Census Area
02090,Alaska,AK,Fairbanks North Star Borough
02100,Alaska,AK,Haines Borough
02105,Alaska,AK,Hoonah-Angoon Census Area
02110,Alaska,AK,Juneau City and Borough
02122,Alaska,AK,Kenai Peninsula Borough
02130,Alaska,AK,Ketchikan Gateway Borough
02150,Alaska,AK,Kodiak Island Borough
02164,Alaska,AK,Lake and Peninsula Borough
02170,Alaska,AK,Matanuska-Susitna Borough
02180,Alaska,AK,Nome Census Area
02185,Alaska,AK,North Slope Borough
02188,Alaska,AK,Northwest Arctic Borough
02195,Alaska,AK,Petersburg Census Area
02198,Alaska,AK,Prince of Wales-Hyder Census Area
02220,Alaska,AK,Sitka City and Borough
02230,Alaska,AK,Skagway Municipality
02240,Alaska,AK,Southeast Fairbanks Census Area
02261,Alaska,AK,Valdez-Cordova Census Area
02270,Alaska,AK,Wade Hampton Census Area
02275,Alaska,AK,Wrangell City and Borough
02282,Alaska,AK,Yakutat City and Borough
02290,Alaska,AK,Yukon-Koyukuk Census Area
04001,Arizona,AZ,Apache County
04003,Arizona,AZ,Cochise County
04005,Arizona,AZ,Coconino County
